Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:59:44,927.1,963.72,23,955.2,997.86,22.75
10:59:45,926.4,962.99,23,955.4,983.43,23.5
10:59:46,927.9,964.55,23,954.8,987.64,23.25
10:59:47,927.9,955.12,23.5,954.3,987.12,23.25
10:59:49,928.5,955.74,23.5,954.7,992.41,23
10:59:49,928.5,965.18,23,954.7,982.71,23.5
10:59:50,928.5,955.74,23.5,955.5,983.53,23.5
10:59:51,927.8,964.45,23,955.4,978.64,23.75
10:59:52,928.4,960.33,23.25,954.5,982.5,23.5
10:59:53,929.7,961.68,23.25,955.6,983.63,23.5
10:59:54,927.3,954.5,23.5,954.5,982.5,23.5
10:59:55,929.7,956.97,23.5,955.5,988.36,23.25
10:59:56,927.8,955.02,23.5,955.1,983.12,23.5
10:59:57,927.3,959.19,23.25,955.3,978.54,23.75
10:59:58,929.2,961.16,23.25,955.4,983.43,23.5
10:59:59,928.7,965.38,23,955.2,983.22,23.5
11:00:00,928.5,960.43,23.25,955.5,983.53,23.5
11:00:01,930.5,962.5,23.25,955.3,978.54,23.75
11:00:02,928.5,960.43,23.25,956.2,989.09,23.25
11:00:03,930,971.53,22.75,955.6,993.35,23
11:00:04,928.5,960.43,23.25,956.1,984.15,23.5
11:00:05,929.3,956.56,23.5,955.2,983.22,23.5
11:00:06,930.6,957.9,23.5,955.2,978.44,23.75
11:00:07,930.7,962.71,23.25,955.4,978.64,23.75
11:00:08,930,961.99,23.25,955.5,983.53,23.5
11:00:09,930.6,957.9,23.5,955.1,983.12,23.5
11:00:10,929.8,961.78,23.25,956,988.88,23.25
11:00:11,929.9,952.52,23.75,955.2,978.44,23.75
11:00:12,928.6,974.91,22.5,956.2,984.25,23.5
11:00:13,930,957.28,23.5,955.5,978.75,23.75
